application_name,platform,key_combination,title,description,category,confidence_score,extraction_method,run_version,timestamp
IntelliJ IDEA,Windows,Ctrl+Shift+Space,Smart code completion,Smart code completion,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Double Shift,Search everywhere,Search everywhere,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Alt+Enter,Show intention actions and quick-fixes,Show intention actions and quick-fixes,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Alt+Ins,Generate code,Generate code,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+P,Parameter info,Parameter info,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+W,Extend selection,Extend selection,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Shift+W,Shrink selection,Shrink selection,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+E,Recent files popup,Recent files popup,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Shift+F6,Rename,Rename,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Alt+#[0-9],Open corresponding tool window,Open corresponding tool window,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+S,Save all,Save all,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Alt+Y,Synchronize,Synchronize,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Shift+F12,Toggle maximizing editor,Toggle maximizing editor,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Alt+Shift+I,Inspect current file with current profile,Inspect current file with current profile,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+BackQuote (`),Quick switch current scheme,Quick switch current scheme,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Alt+S,Open Settings dialog,Open Settings dialog,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Alt+Shift+S,Open Project Structure dialog,Open Project Structure dialog,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Shift+A,Find Action,Find Action,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,F8,Step over,Step over,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,F7,Step into,Step into,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Shift+F7,Smart step into,Smart step into,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Shift+F8,Step out,Step out,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Alt+F9,Run to cursor,Run to cursor,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Alt+F8,Evaluate expression,Evaluate expression,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,F9,Resume program,Resume program,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+F8,Toggle breakpoint,Toggle breakpoint,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Shift+F8,View breakpoints,View breakpoints,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Double Shift,Search everywhere,Search everywhere,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+F,Find,Find,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,F3,Find next,Find next,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Shift+F3,Find previous,Find previous,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+R,Replace,Replace,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Shift+F,Find in path,Find in path,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Shift+R,Replace in path,Replace in path,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Alt+J,Select next occurrence,Select next occurrence,General,100.0,simple_ai_claude,001,20260111_122012
IntelliJ IDEA,Windows,Ctrl+Alt+Shift+J,Select all occurrences,Select all occurrences,General,100.0,simple_ai_claude,001,20260111_122012
