application_name,platform,key_combination,title,description,category,confidence_score,extraction_method
Docker,macOS,Cmd+P,Open command palette,Open command palette,General,95.0,simple_ai_claude
Docker,macOS,Cmd+Shift+P,Open command palette,Open command palette,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+S,Open keyboard shortcuts,Open keyboard shortcuts,General,95.0,simple_ai_claude
Docker,macOS,"Cmd+,",Open settings,Open settings,General,95.0,simple_ai_claude
Docker,macOS,Cmd+Shift+P,Run a command,Run a command,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+O,Open a folder,Open a folder,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+N,Open a new window,Open a new window,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+W,Close window,Close window,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+T,Open a new terminal,Open a new terminal,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+C,Copy path of active file,Copy path of active file,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+R,Reveal active file in Finder,Reveal active file in Finder,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+P,Open active file in external program,Open active file in external program,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+F,Format document,Format document,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+I,Toggle inline view,Toggle inline view,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+M,Toggle minimap,Toggle minimap,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+H,Toggle panel,Toggle panel,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+X,Clear output,Clear output,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+Z,Zen mode,Zen mode,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+U,Show references,Show references,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+V,Open preview to the side,Open preview to the side,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+E,Toggle explorer,Toggle explorer,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+G,Toggle git,Toggle git,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+D,Toggle debug,Toggle debug,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+X,Toggle extensions,Toggle extensions,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+B,Toggle breadcrumbs,Toggle breadcrumbs,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+L,Focus on last active view,Focus on last active view,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+F,Format selection,Format selection,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+O,Open folder,Open folder,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+N,New window,New window,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+W,Close window,Close window,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+T,Open new terminal,Open new terminal,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+C,Copy path,Copy path,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+R,Reveal in Finder,Reveal in Finder,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+P,Open with,Open with,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+F,Format document,Format document,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+I,Toggle inline view,Toggle inline view,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+M,Toggle minimap,Toggle minimap,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+H,Toggle panel,Toggle panel,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+X,Clear output,Clear output,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+Z,Zen mode,Zen mode,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+U,Show references,Show references,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+V,Open preview to the side,Open preview to the side,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+E,Toggle explorer,Toggle explorer,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+G,Toggle git,Toggle git,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+D,Toggle debug,Toggle debug,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+X,Toggle extensions,Toggle extensions,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+B,Toggle breadcrumbs,Toggle breadcrumbs,General,95.0,simple_ai_claude
Docker,macOS,Cmd+K Cmd+L,Focus on last active view,Focus on last active view,General,85.0,simple_ai_claude
