application_name,platform,key_combination,title,description,category,confidence_score,extraction_method
VS Code,macOS,"⇧⌘P, F1",Show Command Palette,Show Command Palette,General,100.0,simple_ai_claude
VS Code,macOS,⌘P,"Quick Open, Go to File…","Quick Open, Go to File…",General,100.0,simple_ai_claude
VS Code,macOS,⇧⌘N,New window/instance,New window/instance,General,100.0,simple_ai_claude
VS Code,macOS,⌘W,Close window/instance,Close window/instance,General,100.0,simple_ai_claude
VS Code,macOS,"⌘,",User Settings,User Settings,General,100.0,simple_ai_claude
VS Code,macOS,⌘K ⌘S,Keyboard Shortcuts,Keyboard Shortcuts,General,100.0,simple_ai_claude
VS Code,macOS,⌘X,Cut line (empty selection),Cut line (empty selection),General,100.0,simple_ai_claude
VS Code,macOS,⌘C,Copy line (empty selection),Copy line (empty selection),General,100.0,simple_ai_claude
VS Code,macOS,"⌥↓, ⌥↑",Move line down/up,Move line down/up,General,100.0,simple_ai_claude
VS Code,macOS,"⇧⌥↓, ⇧⌥↑",Copy line down/up,Copy line down/up,General,100.0,simple_ai_claude
VS Code,macOS,⇧⌘K,Delete line,Delete line,General,100.0,simple_ai_claude
VS Code,macOS,"⌘Enter, ⇧⌘Enter",Insert line below/above,Insert line below/above,General,100.0,simple_ai_claude
VS Code,macOS,⇧⌘\,Jump to matching bracket,Jump to matching bracket,General,100.0,simple_ai_claude
VS Code,macOS,"⌘], ⌘[",Indent/outdent line,Indent/outdent line,General,100.0,simple_ai_claude
VS Code,macOS,"Home, End",Go to beginning/end of line,Go to beginning/end of line,General,100.0,simple_ai_claude
VS Code,macOS,"⌘↑, ⌘↓",Go to beginning/end of file,Go to beginning/end of file,General,100.0,simple_ai_claude
VS Code,macOS,"⌃PgUp, ⌃PgDn",Scroll line up/down,Scroll line up/down,General,100.0,simple_ai_claude
VS Code,macOS,"⌘PgUp, ⌘PgDn",Scroll page up/down,Scroll page up/down,General,100.0,simple_ai_claude
VS Code,macOS,"⌥⌘[, ⌥⌘]",Fold/unfold region,Fold/unfold region,General,100.0,simple_ai_claude
