application_name,platform,key_combination,title,description,category,confidence_score,extraction_method
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,CmdLeft,+,+,General,75.0,python_list_parser
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,CmdRight,+,+,General,75.0,python_list_parser
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,CmdUp,+,+,General,75.0,python_list_parser
RStudio,macOS,Cmd,++O,++O,General,75.0,python_list_parser
RStudio,macOS,Cmd,++,++,General,75.0,python_list_parser
RStudio,macOS,Cmd,++N,++N,General,75.0,python_list_parser
RStudio,macOS,Cmd,++Alt+N,++Alt+N,General,75.0,python_list_parser
RStudio,macOS,Cmd,+O,+O,General,75.0,python_list_parser
RStudio,macOS,Cmd,+S,+S,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+S,+Option+S,General,75.0,python_list_parser
RStudio,macOS,Cmd,+W,+W,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+W,+Option+W,General,75.0,python_list_parser
RStudio,macOS,Cmd,++W,++W,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option++W,+Option++W,General,75.0,python_list_parser
RStudio,macOS,Cmd,++K,++K,General,75.0,python_list_parser
RStudio,macOS,Cmd,++K,++K,General,75.0,python_list_parser
RStudio,macOS,Cmd,++K,++K,General,75.0,python_list_parser
RStudio,macOS,Cmd,++K,++K,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+I,+Option+I,General,75.0,python_list_parser
RStudio,macOS,Cmd,++R,++R,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Return,+Return,General,75.0,python_list_parser
RStudio,macOS,Option,+Return,+Return,General,75.0,python_list_parser
RStudio,macOS,Cmd,++P,++P,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+R,+Option+R,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+B,+Option+B,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+E,+Option+E,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+F,+Option+F,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+T,+Option+T,General,75.0,python_list_parser
RStudio,macOS,Cmd,+++P,+++P,General,75.0,python_list_parser
RStudio,macOS,Option,+++P,+++P,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+C,+Option+C,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+N,+Option+N,General,75.0,python_list_parser
RStudio,macOS,Option,++G,++G,General,75.0,python_list_parser
RStudio,macOS,Cmd,++S,++S,General,75.0,python_list_parser
RStudio,macOS,Cmd,++Return,++Return,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+Return,+Option+Return,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+L,+Option+L,General,75.0,python_list_parser
RStudio,macOS,Cmd,+++L,+++L,General,75.0,python_list_parser
RStudio,macOS,Option,+++L,+++L,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+O,+Option+O,General,75.0,python_list_parser
RStudio,macOS,Cmd,+++O,+++O,General,75.0,python_list_parser
RStudio,macOS,Option,+++O,+++O,General,75.0,python_list_parser
RStudio,macOS,Cmd,+++G,+++G,General,75.0,python_list_parser
RStudio,macOS,Option,+++G,+++G,General,75.0,python_list_parser
RStudio,macOS,Cmd,+++J,+++J,General,75.0,python_list_parser
RStudio,macOS,Option,+++J,+++J,General,75.0,python_list_parser
RStudio,macOS,Option,+++,+++,General,75.0,python_list_parser
RStudio,macOS,Option,+++,+++,General,75.0,python_list_parser
RStudio,macOS,Cmd,+PgDn,+PgDn,General,75.0,python_list_parser
RStudio,macOS,Cmd,+PgUp,+PgUp,General,75.0,python_list_parser
RStudio,macOS,Option,++A,++A,General,75.0,python_list_parser
RStudio,macOS,Option,+Shift++A,+Shift++A,General,75.0,python_list_parser
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+X,+Option+X,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+V,+Option+V,General,75.0,python_list_parser
RStudio,macOS,Cmd,+I,+I,General,75.0,python_list_parser
RStudio,macOS,Cmd,++C,++C,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Shift+/,+Shift+/,General,75.0,python_list_parser
RStudio,macOS,Cmd,++A,++A,General,75.0,python_list_parser
RStudio,macOS,Cmd,+++D,+++D,General,75.0,python_list_parser
RStudio,macOS,Option,+++D,+++D,General,75.0,python_list_parser
RStudio,macOS,Option,+/,+/,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+/,+Option+/,General,75.0,python_list_parser
RStudio,macOS,Option,++,++,General,75.0,python_list_parser
RStudio,macOS,Option,++,++,General,75.0,python_list_parser
RStudio,macOS,Option,+++,+++,General,75.0,python_list_parser
RStudio,macOS,Option,+++,+++,General,75.0,python_list_parser
RStudio,macOS,Cmd,+F,+F,General,75.0,python_list_parser
RStudio,macOS,Cmd,+G,+G,General,75.0,python_list_parser
RStudio,macOS,Cmd,++G,++G,General,75.0,python_list_parser
RStudio,macOS,Cmd,+E,+E,General,75.0,python_list_parser
RStudio,macOS,Cmd,++J,++J,General,75.0,python_list_parser
RStudio,macOS,Cmd,++F,++F,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option++M,+Option++M,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option++R,+Option++R,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Z,+Z,General,75.0,python_list_parser
RStudio,macOS,Cmd,++Z,++Z,General,75.0,python_list_parser
RStudio,macOS,Cmd,+X,+X,General,75.0,python_list_parser
RStudio,macOS,Cmd,+C,+C,General,75.0,python_list_parser
RStudio,macOS,Cmd,+V,+V,General,75.0,python_list_parser
RStudio,macOS,Cmd,+A,+A,General,75.0,python_list_parser
RStudio,macOS,Option,+/,+/,General,75.0,python_list_parser
RStudio,macOS,Cmd,+/ or +/,+/ or +/,General,75.0,python_list_parser
RStudio,macOS,Cmd,+/ or +/,+/ or +/,General,75.0,python_list_parser
RStudio,macOS,CmdHome,+/ or +/,+/ or +/,General,75.0,python_list_parser
RStudio,macOS,CmdUp,+/ or +/,+/ or +/,General,75.0,python_list_parser
RStudio,macOS,Cmd,+D,+D,General,75.0,python_list_parser
RStudio,macOS,Option,++/,++/,General,75.0,python_list_parser
RStudio,macOS,Cmd,++,++,General,75.0,python_list_parser
RStudio,macOS,Cmd,++,++,General,75.0,python_list_parser
RStudio,macOS,Cmd,++/,++/,General,75.0,python_list_parser
RStudio,macOS,Option,+Backspace or,+Backspace or,General,75.0,python_list_parser
RStudio,macOS,Option,++Backspace,++Backspace,General,75.0,python_list_parser
RStudio,macOS,Option,+,+,General,75.0,python_list_parser
RStudio,macOS,Option,+Backspace,+Backspace,General,75.0,python_list_parser
RStudio,macOS,Cmd,++M,++M,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+U,+Option+U,General,75.0,python_list_parser
RStudio,macOS,Cmd,or +,or +,General,75.0,python_list_parser
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,Option,++M,++M,General,75.0,python_list_parser
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,Cmd,+,+,General,75.0,python_list_parser
RStudio,macOS,Option,"+Cmd+, [comma] (Safari,","+Cmd+, [comma] (Safari,",General,75.0,python_list_parser
RStudio,macOS,Option,++K,++K,General,75.0,python_list_parser
RStudio,macOS,Option,++,++,General,75.0,python_list_parser
RStudio,macOS,Cmd,+F,+F,General,75.0,python_list_parser
RStudio,macOS,Option,++,++,General,75.0,python_list_parser
RStudio,macOS,Cmd,++P,++P,General,75.0,python_list_parser
RStudio,macOS,Cmd,++B,++B,General,75.0,python_list_parser
RStudio,macOS,Cmd,++L,++L,General,75.0,python_list_parser
RStudio,macOS,Cmd,++T,++T,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+,+Option+,General,75.0,python_list_parser
RStudio,macOS,Cmd,++E,++E,General,75.0,python_list_parser
RStudio,macOS,Cmd,++D,++D,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+,+Option+,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Option+,+Option+,General,75.0,python_list_parser
RStudio,macOS,Option,++D,++D,General,75.0,python_list_parser
RStudio,macOS,Option,++M,++M,General,75.0,python_list_parser
RStudio,macOS,Cmd,+Q,+Q,General,75.0,python_list_parser
RStudio,macOS,Cmd,++,++,General,75.0,python_list_parser
RStudio,macOS,Option,++R,++R,General,75.0,python_list_parser
RStudio,macOS,Option,++M,++M,General,75.0,python_list_parser
RStudio,macOS,Option,++,++,General,75.0,python_list_parser
RStudio,macOS,Option,++,++,General,75.0,python_list_parser
RStudio,macOS,Option,++F,++F,General,75.0,python_list_parser
RStudio,macOS,Option,++I,++I,General,75.0,python_list_parser
RStudio,macOS,Option,++C,++C,General,75.0,python_list_parser
RStudio,macOS,Option,++V,++V,General,75.0,python_list_parser
RStudio,macOS,Option,++P,++P,General,75.0,python_list_parser
RStudio,macOS,Option,++S,++S,General,75.0,python_list_parser
RStudio,macOS,Option,++B,++B,General,75.0,python_list_parser
RStudio,macOS,Option,++U,++U,General,75.0,python_list_parser
RStudio,macOS,Option,++O,++O,General,75.0,python_list_parser
RStudio,macOS,Option,++T,++T,General,75.0,python_list_parser
RStudio,macOS,Option,++H,++H,General,75.0,python_list_parser
RStudio,macOS,Option,+++T,+++T,General,75.0,python_list_parser
RStudio,macOS,Option,+++B,+++B,General,75.0,python_list_parser
RStudio,macOS,Option,++Y,++Y,General,75.0,python_list_parser
RStudio,macOS,Option,++2,++2,General,75.0,python_list_parser
