application_name,platform,key_combination,title,description,category,confidence_score,extraction_method
RStudio,Windows,Ctrl,+2,+2,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+2,+2,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+L,+L,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+L,+L,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+,+,General,75.0,python_list_parser
RStudio,Windows,CtrlUp,+,+,General,75.0,python_list_parser
RStudio,Windows,Ctrl,Change working directory +Shift+H,Change working directory +Shift+H,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Shift+H,+Shift+H,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+1,+1,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+1,+1,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Shift+O,+Shift+O,General,75.0,python_list_parser
RStudio,Windows,Shift,++O,++O,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Shift+,+Shift+,General,75.0,python_list_parser
RStudio,Windows,Shift,++,++,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Shift+N,+Shift+N,General,75.0,python_list_parser
RStudio,Windows,Shift,++N,++N,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Alt++N,+Alt++N,General,75.0,python_list_parser
RStudio,Windows,Shift,+Alt++N,+Alt++N,General,75.0,python_list_parser
RStudio,Windows,Shift,++Alt+N,++Alt+N,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+O,+O,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+S,+S,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Alt+S,+Alt+S,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+W,+W,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Alt+W,+Alt+W,General,75.0,python_list_parser
RStudio,Windows,Ctrl,Close all open documents +Shift+W,Close all open documents +Shift+W,General,75.0,python_list_parser
RStudio,Windows,Shift,++W,++W,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Shift++W,+Shift++W,General,75.0,python_list_parser
RStudio,Windows,Alt,+Shift++W,+Shift++W,General,75.0,python_list_parser
RStudio,Windows,Shift,+Option++W,+Option++W,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Shift+K,+Shift+K,General,75.0,python_list_parser
RStudio,Windows,Shift,++K,++K,General,75.0,python_list_parser
RStudio,Windows,Ctrl,+Shift+K,+Shift+K,General,75.0,python_list_parser
RStudio,Windows,Shift,++K,++K,General,75.0,python_list_parser
